datetime,frame_number,x,y,z
2024-08-29 23:57:25.991368,130,[-2.2919555 -2.2848487 -2.2777414 ...  0.         0.         0.       ],[-1.6684284 -1.6684284 -1.6684284 ...  0.         0.         0.       ],[4.316 4.316 4.316 ... 0.    0.    0.   ]
2024-08-29 23:57:26.032900,131,[-2.3248801 -2.317671  -2.3104618 ...  0.         0.         0.       ],[-1.6923958 -1.6923958 -1.6923958 ...  0.         0.         0.       ],[4.3780003 4.3780003 4.3780003 ... 0.        0.        0.       ]
2024-08-29 23:57:26.070400,132,[-2.1984932 -2.1916761 -2.1700819 ...  0.         0.         0.       ],[-1.6003926 -1.6003926 -1.5895685 ...  0.         0.         0.       ],[4.1400003 4.1400003 4.112     ... 0.        0.        0.       ]
2024-08-29 23:57:26.110861,134,[-2.168755  -2.1620302 -2.1553051 ...  0.         0.         0.       ],[-1.5787446 -1.5787446 -1.5787446 ...  0.         0.         0.       ],[4.084 4.084 4.084 ... 0.    0.    0.   ]
2024-08-29 23:57:26.149157,135,[-2.3248801 -2.317671  -2.3268218 ...  0.         0.         0.       ],[-1.6923958 -1.6923958 -1.7043794 ...  0.         0.         0.       ],[4.3780003 4.3780003 4.4090004 ... 0.        0.        0.       ]
2024-08-29 23:57:26.190155,136,[-2.2754936 -2.2684379 -2.2613816 ...  0.         0.         0.       ],[-1.6564449 -1.6564449 -1.6564449 ...  0.         0.         0.       ],[4.2850003 4.2850003 4.2850003 ... 0.        0.        0.       ]
2024-08-29 23:57:26.230976,137,[-2.4114392 -2.4039617 -2.4144273 ...  0.         0.         0.       ],[-1.7554064 -1.7554064 -1.7685497 ...  0.         0.         0.       ],[4.5410004 4.5410004 4.5750003 ... 0.        0.        0.       ]
2024-08-29 23:57:26.270267,138,[-2.2441623 -2.2372038 -2.2455492 ...  0.         0.         0.       ],[-1.6336374 -1.6336374 -1.6448479 ...  0.         0.         0.       ],[4.2260003 4.2260003 4.255     ... 0.        0.        0.       ]
2024-08-29 23:57:26.311751,140,[-2.2133622 -2.206499  -2.21494   ...  0.         0.         0.       ],[-1.6112164 -1.6112164 -1.6224269 ...  0.         0.         0.       ],[4.168 4.168 4.197 ... 0.    0.    0.   ]
2024-08-29 23:57:26.351247,141,[-2.2919555 -2.2848487 -2.2935739 ...  0.         0.         0.       ],[-1.6684284 -1.6684284 -1.6800256 ...  0.         0.         0.       ],[4.316 4.316 4.346 ... 0.    0.    0.   ]
2024-08-29 23:57:26.391616,142,"[-2.1984932  -2.1916761  -2.1848588  ...  0.31487966  0.31588086
  0.316882  ]","[-1.6003926  -1.6003926  -1.6003926  ...  0.24448256  0.24448256
  0.24448256]",[4.1400003  4.1400003  4.1400003  ... 0.60800004 0.60800004 0.60800004]
2024-08-29 23:57:26.432396,143,"[-2.1257412  -2.1191497  -2.112558   ...  0.32264808  0.32367396
  0.32469982]","[-1.5474327  -1.5474327  -1.5474327  ...  0.25051418  0.25051418
  0.25051418]",[4.0030003 4.0030003 4.0030003 ... 0.623     0.623     0.623    ]
2024-08-29 23:57:26.473809,144,"[-2.154417   -2.1477368  -2.1553051  ...  0.32420176  0.3252326
  0.3262634 ]","[-1.5683073  -1.5683073  -1.5787446  ...  0.25172052  0.25172052
  0.25172052]",[4.057      4.057      4.084      ... 0.62600005 0.62600005 0.62600005]
2024-08-29 23:57:26.516711,146,"[-2.1257412  -2.1191497  -2.126807   ...  0.32420176  0.3252326
  0.3262634 ]","[-1.5474327  -1.5474327  -1.55787    ...  0.25172052  0.25172052
  0.25172052]",[4.0030003  4.0030003  4.03       ... 0.62600005 0.62600005 0.62600005]
2024-08-29 23:57:26.557651,147,"[-2.0715754  -2.065152   -2.0455344  ...  0.32316595  0.3241935
  0.325221  ]",[-1.5080028 -1.5080028 -1.4983385 ...  0.2509163  0.2509163  0.2509163],[3.9010003 3.9010003 3.8760002 ... 0.624     0.624     0.624    ]
